Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
ZNF471,-1.011994038,0.900549765,14.73764283,0.000361782,0.005768527,2.265788922,483,2.238935049,Downregulated
COL8A2,1.003341785,1.471390494,14.9201651,0.000335662,0.005525407,2.265180257,484,2.257635725,Upregulated
UBE2S,1.02629112,2.493335421,14.46965617,0.000402737,0.006219946,2.264217219,485,2.206213399,Upregulated
LRRC71,1.149007988,-1.890181247,12.42802788,0.000931401,0.010790757,2.260039048,486,1.966948074,Upregulated
CNGB1,1.543321808,-0.000184722,8.616164365,0.005115149,0.034441146,2.257760055,487,1.462922407,Upregulated
EVI2B,1.041993434,11.5392964,14.06440944,0.000475241,0.007021305,2.244018447,488,2.153582138,Upregulated
OR52I1,1.287800916,-2.244113962,10.56232201,0.002002704,0.018332129,2.236636015,489,1.736787098,Upregulated
TMEM132A,1.398349282,-1.785160368,9.576643328,0.003261988,0.025666899,2.22425155,490,1.59062659,Upregulated
FFAR4,1.227698362,-0.369263776,11.28324608,0.001549485,0.015450646,2.223427227,491,1.811053347,Upregulated
FOSB,1.656567793,7.865996814,7.663063283,0.007983836,0.045506202,2.222997035,492,1.341929406,Upregulated
TSPEAR,-1.182476269,-0.521069636,11.81624929,0.001235595,0.013192261,2.222677884,493,1.879680754,Downregulated
IL10,1.42016593,0.028587308,9.311959263,0.00371417,0.027714387,2.211616907,494,1.557294722,Upregulated
MYO7A,1.011683342,2.575475826,14.20112344,0.000449398,0.006721733,2.197900998,495,2.17251872,Upregulated
NOTCH3,1.253011436,-1.339186233,10.83999897,0.001890365,0.017656704,2.196642279,496,1.753090367,Upregulated
TNFAIP6,1.440935758,6.169371887,9.01447595,0.004242436,0.030343586,2.187244069,497,1.517933091,Upregulated
OR52K2,1.315493442,0.927991683,10.11490661,0.002578653,0.021898765,2.183167103,498,1.659580378,Upregulated
ATP1B2,1.435493956,-1.537369119,9.035435651,0.004214321,0.030207564,2.181784715,499,1.519884293,Upregulated
