Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
SAMD15,2.2642001780000003,0.068706898,24.16123822,7.01e-06,1.5505357368753952e-05,10.889712009040052,732,4.26220173,Upregulated,4.809518219656305
NR1D1,-1.551623465,1.339092951,44.08620556,1e-08,9.660220994475138e-08,10.884658682226831,733,6.411507961,Downregulated,7.015012938223921
KCNN4,-1.7752860209999999,3.672528984,35.20980161,1.53e-07,7.535788732394366e-07,10.869847801694187,734,5.527543872000001,Downregulated,6.122871285592232
MARCHF9,-1.638358356,3.1034345739999996,40.20983245,3.16e-08,2.3362621564482026e-07,10.864738091559806,735,6.0313134989999995,Downregulated,6.631478425810163
CD81,-1.655546798,4.979507559,39.44516675,3.99e-08,2.7629762376237625e-07,10.858107058810218,736,5.957304665,Downregulated,6.558622850122668
RPL3,-1.55357918,9.976475746,43.73170073,1.09e-08,1.0414562841530056e-07,10.847647499999116,737,6.381220342000001,Downregulated,6.982358955144543
ARFRP1,-1.5785998030000001,4.143784267,42.58605852,1.53e-08,1.35453417721519e-07,10.84215500426652,738,6.266073267,Downregulated,6.868210032499617
ELOVL4,-1.8569002490000002,-1.193125039,31.65090423,3.89e-07,1.511481111111111e-06,10.808268530769862,739,5.2295045589999996,Downregulated,5.8205972758043725
FAHD2B,-1.6501245569999998,1.688361461,39.39112711,4.12e-08,2.825027450980392e-07,10.806628311765682,740,5.948093262,Downregulated,6.548977327755557
CHCHD10,-1.875637634,2.845507602,31.84016779,4.6799999999999996e-07,1.757890440386681e-06,10.794309955641992,741,5.168109024,Downregulated,5.7550081955979735
TRIM55,2.419961434,-1.8272849780000002,20.5845982,1.9e-05,3.489653361344538e-05,10.78629496304481,742,3.932214807,Upregulated,4.457217710786382
MICOS13,-1.8253039690000001,3.4276241830000003,33.17920677,2.9899999999999996e-07,1.247736276849642e-06,10.776370481991798,743,5.310900736000001,Downregulated,5.903877197996602
BEX2,-1.7513491209999998,1.96961288,35.53504281,1.3900000000000001e-07,7.04468115942029e-07,10.774542631263005,744,5.556566632999999,Downregulated,6.152138658173915
ZNF575,-1.678553503,-0.582008014,38.0118532,6.18e-08,3.83181914893617e-07,10.770598008850499,745,5.817565862,Downregulated,6.416594996585282
FAM72B,1.483653399,0.8985980859999999,46.76589748,4.65e-09,5.67805574912892e-08,10.75025631439204,746,6.6462224270000005,Upregulated,7.245800347734748
RBM11,1.7710800759999998,1.6303010759999998,34.69073084,1.8399999999999998e-07,8.602245989304812e-07,10.742288092469302,747,5.471416027,Upregulated,6.065388142545681
SLC4A10,-1.920487545,-0.539452837,30.36016327,7.620000000000001e-07,2.5573071017274474e-06,10.739783318897635,748,5.010333045,Downregulated,5.592217115314661
CSF1R,-1.7646522409999998,6.358872749,34.79833743,1.75e-07,8.281123139377536e-07,10.732457447606658,749,5.487619566,Downregulated,6.081910757399287
DNPEP,-1.5150698390000001,4.170837963,44.7404589,8.08e-09,8.335032448377581e-08,10.7253198450111,750,6.477747409,Downregulated,7.079092705119251
SLC38A2,1.717193555,8.312760102,36.38615563,1.05e-07,5.692790697674419e-07,10.72331529087837,751,5.649945334,Upregulated,6.244674783256085
FBXL15,-1.817352904,1.7773248819999998,33.12452586,3.07e-07,1.2720130331753553e-06,10.714219381880971,752,5.302687697,Downregulated,5.895508438839224
CC2D2B,1.71069927,2.787583171,36.48738761,1.0199999999999999e-07,5.590815047021942e-07,10.696189738720596,753,5.657880225,Upregulated,6.25252487465
AGFG1,1.888021648,7.995707556,31.03725326,6.13e-07,2.1653141414141417e-06,10.694659142352846,754,5.079994509,Upregulated,5.66447908776989
HSPBP1,-1.9214961080000001,2.320837422,30.17862216,8.27e-07,2.7257483506126296e-06,10.692192458989565,755,4.983214316000001,Downregulated,5.564514242039549
NSUN7,1.964545589,5.105820916,29.14129277,1.18e-06,3.6133625218914186e-06,10.691230887477463,756,4.864616236,Upregulated,5.442088464294459
DNLZ,-1.8004116719999999,1.252551737,33.51929199,2.72e-07,1.1613968253968254e-06,10.685478139042754,757,5.3411989,Downregulated,5.935019365416975
CCNI2,-1.634155686,-0.48774462700000004,39.29013041,4.25e-08,2.8971247563352823e-07,10.68416347987212,758,5.937921861,Downregulated,6.53803280275226
MOXD1,2.187236616,-0.22496908100000002,24.70059506,5.66e-06,1.305608179419525e-05,10.682872947189155,759,4.333739887,Upregulated,4.884187137798518
RPS21,-1.687886866,7.387676625,37.11375411,8.310000000000001e-08,4.833063122923588e-07,10.660317945951082,760,5.718400192000001,Downregulated,6.315777532657856
IDUA,-1.733727742,1.8533374790000001,35.36645601,1.47e-07,7.312361308677097e-07,10.638053489312313,761,5.539997979,Downregulated,6.135942357962403
XCL2,-1.801325733,1.500551774,33.22491128,2.98e-07,1.2465382775119616e-06,10.635557403799007,762,5.310900736000001,Downregulated,5.904294381053516
MXRA8,-1.77523531,-0.143360401,34.0781524,2.3100000000000002e-07,1.0303660714285715e-06,10.628348802565895,763,5.393459696,Downregulated,5.987008450483049
FOXP3,-1.7776237680000002,1.173768608,33.93006222,2.3800000000000001e-07,1.0508661616161618e-06,10.627439423798128,764,5.383863211,Downregulated,5.978452592223737
TCEA2,-1.5830317440000001,2.257694604,41.04179005,2.46e-08,1.9462941176470587e-07,10.623396019255757,765,6.109170747,Downregulated,6.710791529936468
PSMB10,-1.700450129,6.166460787,36.37094125,1.05e-07,5.683978328173375e-07,10.619902109310848,766,5.6484740470000006,Downregulated,6.245347586615901
DNAI2,-1.853721164,-1.4414947,30.47527196,5.05e-07,1.866791754756871e-06,10.619790824844715,767,5.143167667,Downregulated,5.728904125973886
CCDC85B,-2.054825655,0.83963051,26.98764704,2.59e-06,6.815071482317533e-06,10.616317537654426,768,4.6008509360000005,Downregulated,5.166529584552236
PLA2G7,-2.0528911990000003,2.097135512,26.94583177,2.57e-06,6.772637528259231e-06,10.611891750593625,769,4.602150545,Downregulated,5.169242167223897
CRIP1,-2.173971808,6.588690918999999,24.71586229,5.75e-06,1.3202724885095208e-05,10.607539832604472,770,4.330032506,Downregulated,4.879336426337168
ZNF443,2.023175545,3.055020914,27.40761359,2.17e-06,5.896262626262626e-06,10.58004109374266,771,4.660567547,Upregulated,5.229423180746612
LYG2,2.926238449,-1.3456653140000001,15.48902301,0.00018077099999999998,0.00024379336174315462,10.572435501769398,772,3.1604724280000003,Upregulated,3.61297812397427
SPEG,-1.86837651,-0.568523378,30.91868409,6.28e-07,2.1983143143143143e-06,10.571106536125372,773,5.073253103,Downregulated,5.657910212179542
MBD3,-2.0281537640000002,3.464105524,27.20715564,2.33e-06,6.215110602593441e-06,10.559686288712815,774,4.638559226,Downregulated,5.20655113835482
HLA-DQA2,-2.239848247,4.287843512,23.39960138,9.38e-06,1.944390041493776e-05,10.552410269403321,775,4.167934057,Downregulated,4.711216611900816
ZNF385A,-1.655732685,5.122384245,37.59193703,7.139999999999999e-08,4.2681333333333326e-07,10.546623175491726,776,5.772615963,Downregulated,6.3697620219967614
RPL35,-1.757850079,8.027343007,34.06037263,2.23e-07,1.002353470437018e-06,10.545305887723659,777,5.404429495,Downregulated,5.998979101632283
NOSIP,-1.55566552,6.106210583999999,41.72180009,1.99e-08,1.6648397129186603e-07,10.545277188324631,778,6.1771848579999995,Downregulated,6.778627573056084
FPGS,-1.608316254,3.7558261010000002,39.3883453,4.07e-08,2.80173031496063e-07,10.538610740198793,779,5.951838537,Downregulated,6.552573670749455
B4GALT4,1.669072493,4.925996762,37.00703973,8.59e-08,4.924463934426229e-07,10.527910153696327,780,5.710578027,Upregulated,6.30764103887028
BHLHE41,2.19840077,0.7166521379999999,24.05455517,7.43e-06,1.6269699436443333e-05,10.527306928636712,781,4.241886677,Upregulated,4.788620470068663
