Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
ZKSCAN7,1.220070547,2.227438975,16.38027863,0.000146591,0.00026509540471311477,4.363701634811039,1027,2.959545139,Upregulated,3.5765978004639423
CXCL3,1.4489677090000002,-0.7410575709999999,12.70638008,0.0007100019999999999,0.0009744584214618972,4.36318472330366,1028,2.504395695,Upregulated,3.011236686782272
NAT14,-1.146461014,0.926308295,18.10869228,7.240000000000001e-05,0.00015737192118226605,4.360074645087233,1029,3.147958127,Downregulated,3.803072753320187
ZGLP1,-1.194437488,1.7315748780000002,16.87688873,0.000119386,0.00022440499467518636,4.358463551841859,1030,3.0200787719999997,Downregulated,3.648967481035608
ARMH1,-1.190235468,4.048691028,16.95922056,0.000115217,0.0002184542964554243,4.357022860593915,1031,3.028134687,Downregulated,3.6606394093726626
FZD4,1.4886655069999999,-1.221532344,12.12772268,0.000901839,0.0011941079032258065,4.351304411728537,1032,2.430071444,Upregulated,2.9229564272617607
PDZD7,-1.068543953,-0.547572239,20.40035903,2.9600000000000005e-05,8.550572831423896e-05,4.34684191855228,1033,3.3688405039999996,Downregulated,4.068004789459774
FAM47E-STBD1,1.2928748970000001,1.8846833319999998,14.89105113,0.000274749,0.00043491657847533635,4.346120544674896,1034,2.79010478,Upregulated,3.3615940372573387
CD52,-1.10570491,9.095013925,19.09564581,4.84e-05,0.00011766666666666665,4.3446977726877725,1035,3.254486758,Downregulated,3.92934654933184
HMG20B,-1.086344925,4.369337843,19.70494916,3.79e-05,0.00010029010494752623,4.344012984902718,1036,3.307946457,Downregulated,3.9987419142246354
GSTCD,1.316376114,0.587801201,14.49231414,0.000327395,0.0005042340095986039,4.3405762970278365,1037,2.739292438,Upregulated,3.2973678653575416
CEP192,1.0686741020000001,4.8270876,20.24911257,3.06e-05,8.739320388349514e-05,4.337237715953152,1038,3.358535625,Upregulated,4.058522338883394
PPDPF,-1.387848329,4.155709255,13.38109472,0.0005269669999999999,0.0007512954886914378,4.335900787017772,1039,2.59283257,Downregulated,3.1241892189631133
MCMDC2,-1.033426019,4.072380344,21.47090746,1.9e-05,6.449038461538461e-05,4.3305769338093825,1040,3.4724538160000002,Downregulated,4.190505032958129
TUFT1,1.18089246,3.09652555,17.00420263,0.00011311700000000001,0.00021563877969762416,4.329474300848147,1041,3.033331304,Upregulated,3.666273134513999
PRR19,-1.098122753,-0.5604229079999999,19.23591171,4.68e-05,0.00011504456824512536,4.325652542327228,1042,3.2633066160000004,Downregulated,3.939133881444335
CR1L,1.618962155,2.188499219,10.71484695,0.0017429260000000001,0.002128902692041523,4.325614625813474,1043,2.222581506,Upregulated,2.6718441888553435
CRACD,1.3175315779999999,-0.026800212,14.39278202,0.00034275699999999996,0.0005233270804498269,4.323119912212573,1044,2.72561007,Upregulated,3.281226791372262
