Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
METTL27,-1.877212515,-2.3160037,16.97511072,7.20E-05,0.000330523,6.534198436,1465,3.480798463,Downregulated
PRRT1,-1.514975981,-1.589774224,23.7817445,6.08E-06,4.89E-05,6.530422067,1466,4.310577956,Downregulated
CYP7B1,-1.549444381,-1.928342961,22.5846479,8.11E-06,6.10E-05,6.530037502,1467,4.214438144,Downregulated
GADD45GIP1,-1.649125317,4.199185001,21.74416051,1.76E-05,0.000110114,6.527496253,1469,3.958156597,Downregulated
CAPN10,-1.277006553,3.115719679,31.28146033,5.65E-07,7.84E-06,6.519824035,1471,5.105552529,Downregulated
ACD,-1.22976039,3.375613796,32.99256816,3.18E-07,5.09E-06,6.509034848,1473,5.292929337,Downregulated
LYRM4,-1.278140277,3.279747849,31.13272975,5.94E-07,8.12E-06,6.506265619,1474,5.090415925,Downregulated
HBA2,-2.254716442,11.3023567,14.04280267,0.000400377,0.001301887,6.505818838,1475,2.885426618,Downregulated
GRIN2D,-1.509427705,-1.185251149,24.21626235,6.10E-06,4.90E-05,6.504790003,1476,4.309441241,Downregulated
ABCA6,-1.710756577,-0.479824053,20.56040943,2.78E-05,0.000158223,6.502126242,1477,3.800731401,Downregulated
PLLP,-1.53508707,-1.491283725,23.30389121,7.64E-06,5.84E-05,6.498703128,1478,4.233442685,Downregulated
ZNF580,-1.307040671,3.186881828,30.03951534,8.64E-07,1.07E-05,6.495277548,1481,4.969453278,Downregulated
CLDN7,-1.141672196,0.192014446,36.78340756,9.70E-08,2.12E-06,6.478037388,1485,5.674165851,Downregulated
MMAB,-1.309681286,2.15414987,29.84341401,9.28E-07,1.13E-05,6.47775145,1486,4.946051775,Downregulated
TMEM51,-1.676475981,-0.10545986,21.08032345,2.32E-05,0.000136909,6.477176597,1487,3.863566595,Downregulated
TNNT1,-2.285570927,3.532092017,13.66791696,0.000471011,0.001478926,6.468288401,1490,2.830053676,Downregulated
POMC,-1.787587699,-1.058521959,18.92932747,4.86E-05,0.000243578,6.459200366,1491,3.613361386,Downregulated
