Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
BLTP1,1.110522024,6.937833276,11.89862438,0.001016976,0.004044067,2.657680946,1475,2.393181665,Upregulated
RGL1,1.155147656,2.679604326,11.22466486,0.001379789,0.00505131,2.652907451,1477,2.296595969,Upregulated
MAP3K1,1.013134636,6.984033461,13.53699449,0.000492237,0.002438427,2.647209588,1479,2.612890225,Upregulated
NAT8,1.528591765,-1.424007262,7.596264665,0.007553891,0.018671185,2.642672415,1481,1.728828111,Upregulated
AMPH,1.566335726,1.119831303,7.373599972,0.008578537,0.0206732,2.638637096,1482,1.684592296,Upregulated
IL10,1.46841605,0.745810299,8.019054882,0.006250373,0.016091096,2.633478436,1483,1.793414363,Upregulated
TNFAIP8L3,1.939920137,-0.277956988,5.529703769,0.021889899,0.044064243,2.630364263,1484,1.355913686,Upregulated
NEDD4,1.30768181,2.818695039,9.343061678,0.003303257,0.009751038,2.629681612,1485,2.010949141,Upregulated
RNASE3,1.503035159,4.365443209,7.738672296,0.007155825,0.017923518,2.625166265,1486,1.746576751,Upregulated
RHOBTB1,1.006625818,3.301401071,13.48767871,0.000503007,0.002472179,2.624193149,1487,2.606920171,Upregulated
NUGGC,1.200318269,1.834164415,10.39375397,0.002021421,0.006662647,2.612316491,1490,2.176353188,Upregulated
ITGA7,1.832981657,3.84150539,5.880244926,0.018245741,0.037950715,2.604263754,1493,1.420780042,Upregulated
CDH6,1.774957348,-2.329029547,6.021719485,0.016091439,0.034238055,2.601183867,1494,1.465490914,Upregulated
COBLL1,1.361687384,1.845015622,8.709629481,0.004468866,0.012322976,2.599848459,1495,1.909284384,Upregulated
TDRD9,1.43614019,4.575008662,8.04047261,0.006173354,0.015916564,2.582396464,1499,1.798150683,Upregulated
TFEC,1.031580143,5.499278647,12.69553511,0.000712641,0.003138614,2.582315397,1500,2.503262025,Upregulated
FMN1,1.347804206,2.321186127,8.722874848,0.004439324,0.012261483,2.576269789,1502,1.911457004,Upregulated
NCKAP1,1.019387181,2.456745714,12.82561099,0.000673003,0.003014342,2.569678779,1504,2.520807429,Upregulated
IRAK2,1.143506625,3.322198876,10.8300866,0.001652258,0.005749018,2.561919449,1507,2.240406303,Upregulated
FOXO3B,1.123118482,2.504906359,11.10759766,0.001455499,0.005246274,2.560877529,1508,2.280149041,Upregulated
WLS,1.037061284,6.134902757,12.40080148,0.000812321,0.003448423,2.553638401,1511,2.462379457,Upregulated
HAVCR1,1.203852299,-1.182084396,10.00263117,0.002411015,0.007634255,2.548836187,1513,2.11723331,Upregulated
HERC3,1.149763552,6.205896012,10.66653155,0.001781089,0.006078565,2.548104776,1514,2.216198949,Upregulated
GNAT1,1.84033734,-1.589011663,5.640949585,0.020272754,0.041369887,2.545767472,1515,1.383315666,Upregulated
SERPINB10,1.493967489,2.566921672,7.478505829,0.008135906,0.019793946,2.544925229,1516,1.70346761,Upregulated
TG,1.081834101,1.801293423,11.57998354,0.001175022,0.00448508,2.540395045,1517,2.348229772,Upregulated
PTH2R,1.267489202,-0.815622306,9.277021364,0.003413957,0.009990906,2.535479217,1518,2.000395122,Upregulated
H2AC15,1.327151973,-1.791056966,8.595820827,0.004543596,0.012464933,2.527308849,1520,1.904310057,Upregulated
NCAPG2,1.136840751,2.85111979,10.7013307,0.001753058,0.006011689,2.524927277,1521,2.221003491,Upregulated
ILDR2,1.264268246,-1.462521488,9.162889763,0.00353706,0.010260571,2.514412672,1525,1.988828463,Upregulated
TK1,1.200423133,2.021467781,9.868608853,0.002580454,0.008045643,2.514213291,1526,2.09443922,Upregulated
CASP8AP2,1.059011553,4.268196798,11.73387862,0.001095289,0.004256903,2.510817117,1529,2.370906258,Upregulated
CCDC110,1.51812793,-2.420080153,6.997488474,0.009631371,0.022647467,2.497290631,1535,1.644980361,Upregulated
NCOA2,1.025497729,6.379437503,12.10561633,0.000926784,0.003796529,2.482333381,1538,2.42061324,Upregulated
DICER1,1.041017002,7.124204162,11.83040084,0.001048667,0.004130903,2.481737683,1539,2.383954996,Upregulated
ABCC4,1.023409035,3.926115343,12.11698643,0.000922113,0.003782948,2.478870276,1541,2.422169623,Upregulated
KIDINS220,1.019433972,6.397055629,12.14965734,0.000908693,0.003737574,2.474584404,1544,2.427410183,Upregulated
FOXC1,1.705879284,-0.919956001,6.014379069,0.016962749,0.035794062,2.467023876,1547,1.446189012,Upregulated
ACCSL,1.426407468,-2.037254455,7.489868714,0.007695746,0.018946238,2.456954083,1549,1.722477019,Upregulated
MYO1D,1.119831273,2.021697646,10.51125405,0.001914198,0.006407032,2.456174174,1550,2.193343079,Upregulated
SLC8A3,1.241635096,0.017025397,9.122610921,0.003682511,0.010587682,2.452476516,1552,1.975199094,Upregulated
TWIST2,1.64319161,-1.280982478,6.224310317,0.015131744,0.032591449,2.443255578,1554,1.486896332,Upregulated
SPC24,1.250758318,0.725680605,8.96338402,0.003964824,0.011209416,2.439500282,1556,1.950416997,Upregulated
USF3,1.021481347,4.92442741,11.85168999,0.001038677,0.004101752,2.438307205,1557,2.387030573,Upregulated
PRKG1,1.041036842,-1.115140309,11.51026783,0.001210431,0.004573453,2.435771936,1559,2.339755748,Upregulated
CNTF,1.182458546,-1.289089225,9.553060858,0.002966317,0.008966268,2.420951759,1562,2.047388271,Upregulated
JUN,1.000198867,3.716800557,12.07865205,0.000938091,0.003823184,2.418055589,1563,2.417574812,Upregulated
BOD1L1,1.03949674,7.120214555,11.40377895,0.001271645,0.004743126,2.415723245,1565,2.323935374,Upregulated
MS4A3,1.41408441,4.489077731,7.491350405,0.008083134,0.019702552,2.41168916,1566,1.70547751,Upregulated
LRRC17,1.049698533,-0.426946635,11.23854482,0.001381202,0.005055185,2.410383817,1568,2.296262918,Upregulated
SAMD9L,1.278769558,8.297996034,8.532331,0.004863939,0.013181828,2.40411794,1569,1.880024375,Upregulated
SCN9A,1.388396972,1.546131266,7.616886102,0.007602749,0.018772415,2.397039413,1572,1.726479862,Upregulated
