Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
MAP1LC3A,-1.153712634,2.670476092,10.38697689,0.002026746,0.006674598,2.509988225,1530,2.17557488,Downregulated
MAD1L1,-1.019079218,3.878528205,12.37560856,0.000821524,0.003468657,2.506770434,1531,2.459838636,Downregulated
TSR3,-1.01546952,3.628567923,12.44432405,0.000796779,0.003402122,2.506432824,1532,2.468250178,Downregulated
H1-4,-1.051474589,-2.024210959,11.62230112,0.001059785,0.004158604,2.503616157,1533,2.381052461,Downregulated
GOLGA7B,-1.06504321,3.341608773,11.57284635,0.001177975,0.004492508,2.500200778,1534,2.34751112,Downregulated
SECTM1,-1.010273213,7.509234445,12.40530398,0.000810694,0.003443817,2.488262425,1536,2.462959913,Downregulated
OLFM1,-1.36084708,0.795115873,8.211041085,0.005692435,0.014940808,2.48439768,1537,1.825625903,Downregulated
GRIN2D,-1.030841878,-0.958509866,12.00806627,0.000975102,0.003930797,2.479710105,1540,2.40551937,Downregulated
ROBO3,-1.154932453,1.679961939,10.1973817,0.002214301,0.007147954,2.478275129,1542,2.145818244,Downregulated
KDF1,-1.155066194,-1.051659454,10.19859226,0.002218495,0.007159871,2.477726513,1543,2.145094824,Downregulated
PLAAT5,-1.264059375,-0.373752329,9.004052722,0.00390417,0.011093871,2.471131023,1545,1.954916891,Downregulated
ISOC2,-1.063312219,2.299772642,11.38232118,0.001284512,0.004782359,2.467264799,1546,2.320357798,Downregulated
CEACAM19,-1.021318948,-0.364149909,12.06636635,0.00095282,0.003865526,2.464229575,1548,2.412791401,Downregulated
TAMALIN,-1.004606363,1.380594212,12.27272773,0.000861321,0.003593544,2.455737205,1551,2.444477056,Downregulated
KNDC1,-1.265548363,-0.013861255,8.879101165,0.004138964,0.011577727,2.450578355,1553,1.936376694,Downregulated
ABHD8,-1.011048561,1.64216109,12.0732972,0.000941223,0.003832661,2.443198439,1555,2.416499596,Downregulated
ATAD3A,-1.061432562,2.089074608,11.21900507,0.00138368,0.005062953,2.436620422,1558,2.295596074,Downregulated
MAMDC4,-1.015730657,0.855649417,11.92122588,0.00100962,0.004026051,2.432797605,1560,2.395120781,Downregulated
SNAI3,-1.018219475,3.737201879,11.84876343,0.001040089,0.004105127,2.430157369,1561,2.386673433,Downregulated
SLC29A4,-1.028558902,-0.115282931,11.6076573,0.001169113,0.004468277,2.416969345,1564,2.349859925,Downregulated
ZP3,-1.049919134,1.96756695,11.22962671,0.001377128,0.005048051,2.41153432,1567,2.296876248,Downregulated
COCH,-1.177783227,0.810981003,9.535182289,0.00302305,0.009095315,2.404070246,1570,2.041182274,Downregulated
OTX1,-1.140729323,1.396889803,9.943151769,0.002493567,0.007844132,2.401754401,1571,2.105455126,Downregulated
CLEC2L,-1.215573944,0.416534807,9.094442873,0.003728872,0.010683139,2.39626228,1573,1.971301122,Downregulated
VPS9D1,-1.011847036,5.499584004,11.55595478,0.001186924,0.004514557,2.3731707,1576,2.34538484,Downregulated
PHPT1,-1.033770516,4.088985291,11.13676448,0.001435915,0.005195394,2.361526252,1578,2.28438151,Downregulated
LCN12,-1.026660198,-1.285016872,11.18899729,0.001397304,0.00509908,2.353626857,1584,2.292508136,Downregulated
ABCA9,-1.125161654,-1.63179939,9.739136596,0.002680308,0.008277851,2.342679298,1591,2.082082419,Downregulated
RNF208,-1.083325054,-0.976996071,10.16309552,0.002258932,0.007264057,2.317038106,1597,2.138820752,Downregulated
CEP170B,-1.051869791,-1.399065525,10.54019637,0.001872437,0.00630576,2.314389723,1598,2.200262564,Downregulated
SLC29A1,-1.102136544,4.027797564,9.864313795,0.002584503,0.008055932,2.307746319,1600,2.093884221,Downregulated
PTGDR2,-1.299120516,3.25582751,7.83805222,0.006815584,0.017228751,2.29131887,1608,1.763746197,Downregulated
NTHL1,-1.127421062,1.851357174,9.469641128,0.003112599,0.009313618,2.289658674,1610,2.030881586,Downregulated
MTFP1,-1.011938483,3.074411128,10.91502892,0.001589173,0.005593024,2.279242971,1614,2.25235329,Downregulated
MYBPH,-1.24910061,1.393507842,8.185912897,0.005756122,0.015058048,2.276150241,1616,1.82223131,Downregulated
CLNK,-1.248952301,-1.433756678,8.138377038,0.005834108,0.015211801,2.270369669,1617,1.817819357,Downregulated
SMPD3,-1.085026858,2.229012268,9.809862068,0.002651948,0.00821679,2.26260413,1618,2.08529781,Downregulated
HLA-DQB1,-1.10194293,6.227992226,9.588400994,0.002941707,0.008908885,2.259177659,1620,2.050176644,Downregulated
AGMO,-1.248861705,-1.609672863,8.023477873,0.006118105,0.015810558,2.249265881,1624,1.801052809,Downregulated
TPSAB1,-1.493188934,-1.858482306,6.293392631,0.0143427,0.031207963,2.248346212,1625,1.50573458,Downregulated
ORAI1,-1.014767535,4.4341333,10.56291529,0.00186821,0.006297475,2.233334403,1628,2.200833517,Downregulated
TLE2,-1.089373013,0.552214722,9.556409692,0.002995313,0.009030929,2.226969912,1629,2.04426756,Downregulated
TMIGD2,-1.128812967,2.088163317,9.093481224,0.003719193,0.01066518,2.226055077,1630,1.972031809,Downregulated
KRT1,-1.485593197,2.132688618,6.296721026,0.014731859,0.031918281,2.22238875,1632,1.495960505,Downregulated
PRR5,-1.113609684,2.999167666,9.189117816,0.003553064,0.010292331,2.21328396,1633,1.987486272,Downregulated
SLC16A11,-1.270530831,-2.07268067,7.37769543,0.008159296,0.019844077,2.162912421,1642,1.702369094,Downregulated
LRP3,-1.090007278,1.132567495,9.153085903,0.00361888,0.010451121,2.159126866,1643,1.980837109,Downregulated
PLPP7,-1.065114093,-1.521652012,9.399936669,0.003170011,0.00944457,2.156661991,1646,2.024817816,Downregulated
TREX1,-1.071361177,3.368582901,9.207949939,0.003521328,0.010235767,2.131879755,1650,1.989879604,Downregulated
KCNK7,-1.090967572,1.149774891,8.97293033,0.003942735,0.011169124,2.129547868,1651,1.951980904,Downregulated
PMP22,-1.24770406,-0.211154541,7.456139375,0.008260323,0.020035079,2.118862178,1656,1.69820893,Downregulated
ROMO1,-1.044645909,3.543196318,9.42502116,0.003177398,0.009455894,2.114674014,1659,2.024297416,Downregulated
RAMP3,-1.117370172,-2.078864372,8.417015036,0.004865943,0.013184301,2.100592122,1660,1.8799429,Downregulated
TPSB2,-1.299304667,-2.174713888,6.872335753,0.010453858,0.024174654,2.100507559,1661,1.616639741,Downregulated
C1orf87,-1.479864363,-1.656052876,5.789962725,0.018856868,0.039028185,2.08456897,1665,1.408621642,Downregulated
TREX2,-1.008092297,-1.032738,9.706491619,0.002794118,0.008563822,2.084061812,1666,2.067332345,Downregulated
LTK,-1.067271718,2.449855891,8.972236228,0.003939746,0.011162874,2.083553423,1667,1.952223963,Downregulated
KCNK17,-1.262004257,-2.0391219,7.067647066,0.009587034,0.022580468,2.077596049,1668,1.646267069,Downregulated
