Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
SLC9A4,4.09049604,-1.589186183,60.74235992,1.24e-08,4.542238095238095e-07,25.944912375868558,39,5.72981733,Upregulated,6.342730104652188
NOG,-4.71314622,-0.053387352,42.94641466,4.970000000000001e-07,3.2958383620689657e-06,25.83762827546614,40,4.914755225,Downregulated,5.4820340955740905
SLC1A3,4.5947712030000005,3.2998908989999998,60.02268111,2.9899999999999996e-07,2.5414999999999997e-06,25.707330827394898,41,5.025120536,Upregulated,5.594909885961278
UGT2B11,-3.96057298,1.8201480769999998,97.77956634,8.18e-09,3.7566955223880595e-07,25.447449758676612,42,5.808135009,Downregulated,6.425194002782045
GATA2,-3.311914957,2.544846564,177.9662217,5.36e-11,2.356102857142857e-08,25.262643966008437,43,7.010857935,Downregulated,7.6278057540740285
IL1R2,4.089704332,9.988826829,82.36860873,2.77e-08,6.711251968503937e-07,25.246548286934516,44,5.569621936,Upregulated,6.1731964556440495
PRL,4.538672213,-0.131663821,49.92369907,4.5399999999999996e-07,3.1042904656319286e-06,24.99917742555337,45,4.93911424,Upregulated,5.5080376489733895
VSIG4,4.539367082,5.690612839,54.48357472,5.92e-07,3.6651589537223338e-06,24.67557813985961,46,4.8719855889999995,Upregulated,5.435907185762954
HDC,-4.32552999,4.106222353,62.11085465,2.3199999999999999e-07,2.1182908011869437e-06,24.543119536247453,47,5.099540617,Downregulated,5.6740144197329805
EPHA2,-4.025514795,-1.3258960640000002,50.45771643,4.3899999999999996e-08,8.549386075949366e-07,24.427085718178944,48,5.467622735,Downregulated,6.068065070464843
CAPN13,4.126616379,1.267319074,70.84340164,9.59e-08,1.23985e-06,24.37439962533093,49,5.331006077,Upregulated,5.90663085363839
PIP,4.111608045,-0.206392794,61.49751663,1.3800000000000002e-07,1.521956989247312e-06,23.919681179534205,50,5.241987117,Upregulated,5.817597620624903
ARG1,4.085525243999999,7.600052784,66.40435389,1.41e-07,1.5276654929577467e-06,23.761299325980005,51,5.239108485,Upregulated,5.8159717311442
PPARG,4.16043321,0.499896433,62.54699548,2.0899999999999998e-07,1.9787476923076923e-06,23.729486707766256,52,5.130753937,Upregulated,5.7036095786203616
SCRG1,3.880022887,1.391985459,77.77737793,4.67e-08,8.60454491017964e-07,23.533394541898392,53,5.4687092,Upregulated,6.065272094334013
C5orf47,3.703428966,-0.057538627,90.03466828,1.2e-08,4.4486746987951805e-07,23.52332659644094,54,5.735421426,Upregulated,6.351769350080991
SIGLEC1,4.838926273,6.884644216,40.86871595,4.22e-06,1.4316361631753033e-05,23.440568611613347,55,4.320372559,Upregulated,4.844167339850963
IFI44L,4.739256068,9.45793447,42.88121431,3.07e-06,1.1450169696969696e-05,23.41755557622346,56,4.412259303,Upregulated,4.94118807682528
HRH4,-3.5938185739999997,2.2158677890000003,103.02094179999999,5.06e-09,3.1570020000000004e-07,23.36242676329863,57,5.88357998,Downregulated,6.500725142976744
EPSTI1,3.8491368589999997,8.308521692000001,76.73508517,4.77e-08,8.6337e-07,23.340407810424196,58,5.466971205,Upregulated,6.063803046090702
CD248,-3.799733938,-0.571387859,62.72902437,3.15e-08,7.398893129770992e-07,23.295535151596084,59,5.527025097,Downregulated,6.130833245618705
CHIT1,3.812528004,3.5519448319999998,77.30159337,4.5199999999999994e-08,8.48051219512195e-07,23.148060836988005,60,5.470019102,Upregulated,6.071577916988858
PFKFB2,3.668162235,8.452760309,86.67624669,1.8700000000000002e-08,5.56226923076923e-07,22.943430380253844,61,5.646933666,Upregulated,6.2547479937876425
RSAD2,4.633366252,8.435956179,43.10991749,2.96e-06,1.118909090909091e-05,22.940747069207156,62,4.422878508999999,Upregulated,4.951205197582804
LYNX1,-3.51831846,-0.002700981,95.35992267,4.6e-09,3.2308500000000004e-07,22.83629053704676,63,5.873837544,Downregulated,6.490683204682603
INHBB,3.770002792,2.7339667519999997,73.87222449,6.42e-08,1.009444387755102e-06,22.604626100838626,64,5.407122215,Upregulated,5.995917602184796
DCANP1,-3.727313498,0.313742758,73.1064641,4.77e-08,8.6337e-07,22.60169494290739,65,5.466971205,Downregulated,6.063803046090702
FKBP5,3.655081058,10.0728302,80.1665931,3.41e-08,7.389133802816902e-07,22.410787644263607,66,5.52615903,Upregulated,6.1314064691431005
